"fdcId","description","dataType","calories","protein","fat","carbs"
"167512","Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","SR Legacy","307","5.88","13.2","41.2"
"167513","Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","SR Legacy","330","4.34","11.3","53.4"
"167514","Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","SR Legacy","377","6.1","3.7","79.8"
"167515","George Weston Bakeries, Thomas English Muffins","SR Legacy","232","8","1.8","46"
"167516","Waffles, buttermilk, frozen, ready-to-heat","SR Legacy","273","6.58","9.22","41"
"167517","Waffle, buttermilk, frozen, ready-to-heat, toasted","SR Legacy","309","7.42","9.49","48.4"
"167518","Waffle, buttermilk, frozen, ready-to-heat, microwaved","SR Legacy","289","6.92","9.4","44.2"
"167519","Waffle, plain, frozen, ready-to-heat, microwave","SR Legacy","298","6.71","9.91","45.4"
"167520","Pie Crust, Cookie-type, Graham Cracker, Ready Crust","SR Legacy","501","5.1","24.8","64.3"
"167521","Pie Crust, Cookie-type, Chocolate, Ready Crust","SR Legacy","484","6.08","22.4","64.5"
"167522","Pie, Dutch Apple, Commercially Prepared","SR Legacy","290","2.17","11.5","44.5"
"167523","Pie crust, deep dish, frozen, unbaked, made with enriched flour","SR Legacy","468","5.52","28.7","46.8"
"167524","Waffles, chocolate chip, frozen, ready-to-heat","SR Legacy","297","5.8","10.1","45.7"
"167525","Tostada shells, corn","SR Legacy","474","6.15","23.4","64.4"
"167526","Bread, salvadoran sweet cheese (quesadilla salvadorena)","SR Legacy","374","7.12","17.1","47.8"
"167527","Bread, pound cake type, pan de torta salvadoran","SR Legacy","390","7.06","17.4","51.3"
"167528","Pastry, Pastelitos de Guava (guava pastries)","SR Legacy","379","5.48","18.5","47.8"
"167529","Crackers, snack, Goya Crackers","SR Legacy","433","14.2","13.4","64.4"
"167530","Crackers, cream, Gamesa Sabrosas","SR Legacy","484","7.01","20.4","64.6"
"167531","Crackers, cream, La Moderna Rikis Cream Crackers","SR Legacy","464","7.19","19.5","64.9"
"167532","Bread, white wheat","SR Legacy","238","10.7","2.15","43.9"
"167533","Bagels, wheat","SR Legacy","250","10.2","1.53","48.9"
"167534","Cream puff, eclair, custard or cream filled, iced","SR Legacy","334","4.41","18.5","37.4"
"167535","Tortillas, ready-to-bake or -fry, flour, shelf stable","SR Legacy","297","8.01","7.58","49.3"
"167536","Snacks, beef jerky, chopped and formed","SR Legacy","410","33.2","25.6","11"
"167537","Snacks, corn-based, extruded, chips, plain","SR Legacy","539","6.17","33.4","57.3"
"167538","Snacks, corn-based, extruded, chips, barbecue-flavor","SR Legacy","523","7","32.7","56.2"
"167539","Snacks, corn-based, extruded, cones, plain","SR Legacy","510","5.8","26.9","62.9"
"167540","Snacks, fruit leather, pieces","SR Legacy","359","1","2.68","82.8"
"167541","Snacks, fruit leather, rolls","SR Legacy","371","0.1","3","85.8"
"167542","Snacks, granola bars, hard, plain","SR Legacy","471","10.1","19.8","64.4"
"167543","Snacks, granola bars, hard, almond","SR Legacy","495","7.7","25.5","62"
"167544","Snacks, granola bars, soft, uncoated, raisin","SR Legacy","448","7.6","17.8","66.4"
"167545","Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","SR Legacy","466","5.8","24.9","63.8"
"167546","Candies, honey-combed, with peanut butter","SR Legacy","473","8.72","20.2","67.4"
"167547","Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","SR Legacy","508","10.2","31.1","53.4"
"167548","Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","SR Legacy","432","9.8","20","62.2"
"167549","Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","SR Legacy","583","7.29","43.6","45.1"
"167550","Snacks, popcorn, cakes","SR Legacy","384","9.7","3.1","80.1"
"167551","Snacks, popcorn, caramel-coated, with peanuts","SR Legacy","400","6.4","7.8","80.7"
"167552","Snacks, popcorn, caramel-coated, without peanuts","SR Legacy","431","3.8","12.8","79.1"
"167553","Snacks, potato chips, made from dried potatoes, reduced fat","SR Legacy","502","4.56","26.1","64.8"
"167554","Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","SR Legacy","547","6.6","37","51.3"
"167555","Snacks, pretzels, hard, plain, salted","SR Legacy","384","10","2.93","80.4"
"167556","Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","SR Legacy","457","7.5","16.7","70.9"
"167557","Snacks, rice cakes, brown rice, sesame seed","SR Legacy","392","7.6","3.8","81.5"
"167558","Snacks, tortilla chips, plain, white corn, salted","SR Legacy","472","7.1","20.7","67.8"
"167559","Snacks, tortilla chips, nacho cheese","SR Legacy","519","7.36","27.4","60.8"
"167560","Snacks, tortilla chips, ranch-flavor","SR Legacy","501","7.19","24.6","62.7"
"167561","Snacks, trail mix, regular","SR Legacy","462","13.8","29.4","44.9"
"167562","Candies, ALMOND JOY Candy Bar","SR Legacy","479","4.13","26.9","59.5"
"167563","Candies, TWIZZLERS CHERRY BITES","SR Legacy","338","2.97","1.7","79.4"
"167564","Candies, NESTLE, BIT-O'-HONEY Candy Chews","SR Legacy","388","2","7.5","80.9"
"167565","Candies, NESTLE, BUTTERFINGER Bar","SR Legacy","459","5.4","18.9","72.9"
"167566","Candies, caramels, chocolate-flavor roll","SR Legacy","387","1.59","3.31","87.7"
"167567","Baking chocolate, unsweetened, liquid","SR Legacy","472","12.1","47.7","36.2"
"167568","Baking chocolate, unsweetened, squares","SR Legacy","642","14.3","52.3","28.4"
"167569","Candies, confectioner's coating, yogurt","SR Legacy","522","5.87","27","63.9"
"167570","Candies, confectioner's coating, peanut butter","SR Legacy","529","18.3","29.8","46.9"
"167571","Candies, white chocolate","SR Legacy","539","5.87","32.1","59.2"
"167572","Ice creams, vanilla, light","SR Legacy","180","4.78","4.83","29.5"
"167573","Ice creams, vanilla, rich","SR Legacy","249","3.5","16.2","22.3"
"167574","Desserts, flan, caramel custard, prepared-from-recipe","SR Legacy","145","4.53","4.03","22.8"
"167575","Ice creams, vanilla","SR Legacy","207","3.5","11","23.6"
"167576","Ice creams, vanilla, light, soft-serve","SR Legacy","126","4.9","2.6","21.8"
"167577","Sherbet, orange","SR Legacy","144","1.1","2","30.4"
"167578","Candies, fudge, peanut butter, prepared-from-recipe","SR Legacy","387","3.78","6.59","77.8"
"167579","Candies, fudge, vanilla, prepared-from-recipe","SR Legacy","383","1.05","5.45","82.2"
"167580","Candies, fudge, vanilla with nuts","SR Legacy","435","3","13.7","74.6"
"167581","Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","SR Legacy","512","9.7","34","53"
"167582","Candies, NESTLE, BABY RUTH Bar","SR Legacy","475","5.4","21.6","64.8"
